y,metric,model,layer,layer_idx,horizon,aggregation,fold,rsquared,rsquared_adj,aic,bic,delta_rsquared,delta_rsquared_adj,delta_rsquared_aic,delta_rsquared_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,7,7,All,mean,full,0.26029824114706246,0.2602548090796829,2840878.6709903795,2841069.040427122,0.022316135617806987,0.022291126244489035,-8586.254093561321,-8480.493295371067,309191126.29699415,9328017.709415793,0.0
meanItemRT,Information value,gpt2_small,8,8,All,mean,full,0.2600726638708474,0.2600292185585521,2840966.957542071,2841157.3269788134,0.022090558341591904,0.02206553572335823,-8497.96754186973,-8392.206743679475,309285416.3149172,9233727.691492736,0.0
meanItemRT,Information value,gpt2_small,9,9,All,mean,full,0.259679290400756,0.2596358219912829,2841120.8518814356,2841311.221318178,0.02169718487150052,0.02167213915608901,-8344.073202505242,-8238.312404314987,309449844.1871201,9069299.819289863,0.0
meanItemRT,Information value,gpt2_small,10,10,All,mean,full,0.25740347989215173,0.2573598778569921,2842009.585468309,2842199.9549050513,0.01942137436289626,0.019396195021798235,-7455.339615631849,-7349.578817441594,310401120.03035325,8118023.976056695,0.0
meanItemRT,Information value,gpt2_small,11,11,All,mean,full,0.25533097003756355,0.25528724631364674,2842816.561121422,2843006.930558164,0.01734886450830808,0.017323563478452875,-6648.363962518983,-6542.603164328728,311267417.35698855,7251726.649421394,0.0
meanItemRT,Information value,gpt2_small,12,12,All,mean,full,0.24816831094572545,0.2481241666616456,2845588.3026757687,2845778.672112511,0.010186205416469973,0.010160483826451738,-3876.6224081721157,-3770.861609981861,314261368.10184157,4257775.904568374,0.0
meanItemRT,Information value,gpt2_small,All,All,1,mean,full,0.24811177940393392,0.24805984050886354,2845616.0735538346,2845838.171230034,0.010129673874678446,0.01009615767366967,-3848.8515301062725,-3711.362492458895,314284997.9646459,4234146.041764021,0.0
meanItemRT,Information value,gpt2_small,All,All,2,mean,full,0.2693475601037263,0.2692970881328014,2837320.557880035,2837542.6555562345,0.03136545457447082,0.03133340529760753,-12144.367203905713,-12006.878166258335,305408562.46374,13110581.542669952,0.0
meanItemRT,Information value,gpt2_small,All,All,3,mean,full,0.27140248157558955,0.2713521515544224,2836505.0692831203,2836727.1669593197,0.03342037604633408,0.033388468719228515,-12959.855800820515,-12822.366763173137,304549616.9810058,13969527.025404155,0.0
meanItemRT,Information value,gpt2_small,All,All,4,mean,full,0.27467010116061086,0.274619996859898,2835203.577110989,2835425.6747871884,0.036687995631355386,0.03665631402470415,-14261.34797295183,-14123.858935304452,303183770.5872246,15335373.41918534,0.0
meanItemRT,Information value,gpt2_small,All,All,5,mean,full,0.2756951754251644,0.27564514193447787,2834794.0818458786,2835016.179522078,0.037713069895908946,0.037681459099284,-14670.843238062225,-14533.354200414848,302755295.3773145,15763848.629095435,0.0
meanItemRT,Information value,gpt2_small,All,All,6,mean,full,0.2775088385676401,0.27745893036108094,2834068.140345552,2834290.2380217514,0.03952673303838461,0.03949524752588707,-15396.784738388844,-15259.295700741466,301997194.5035043,16521949.502905667,0.0
