y,metric,model,layer,layer_idx,horizon,aggregation,fold,rsquared,rsquared_adj,aic,bic,delta_rsquared,delta_rsquared_adj,delta_rsquared_aic,delta_rsquared_bic,anova_baseline_rss,anova_baseline_delta_ss,anova_baseline_p,anova_surprisal_rss,anova_surprisal_delta_ss,anova_surprisal_p
meanItemRT,Information value,gpt2_large,27,9,All,mean,full,0.24204700209847263,0.24200511640719702,2847934.224975815,2848114.0183327384,0.031729341770439734,0.031703820178458963,-11854.227066270076,-11748.466268079821,316820040.36974156,13262684.320066571,0.0,316820040.36974156,1072732.4926179647,6.771435953805275e-205
meanItemRT,Information value,gpt2_large,30,10,All,mean,full,0.238411879024236,0.2383697924502628,2849319.5751263723,2849499.3684832957,0.0280942186962031,0.02806849622152474,-10468.87691571284,-10363.116117522586,318339501.1309196,11743223.558888555,0.0,318339501.1309196,-446728.2685600519,1.0
meanItemRT,Information value,gpt2_large,33,11,All,mean,full,0.2394215506509304,0.2393795198730213,2848935.4523129705,2849115.245669894,0.029103890322897508,0.029078223644283252,-10852.999729114585,-10747.23893092433,317917464.1359936,12165260.55381453,0.0,317917464.1359936,-24691.27363407612,1.0
meanItemRT,Information value,gpt2_large,36,12,All,mean,full,0.24467180934530453,0.24463006870506276,2846929.770441633,2847109.5637985566,0.03435414901727163,0.03432877247632471,-12858.681600451935,-12752.92080226168,315722885.8757209,14359838.814087212,0.0,315722885.8757209,2169886.9866386056,0.0
meanItemRT,Information value,gpt2_xl,0,0,All,mean,full,0.26354765712776873,0.26350695959697445,2839601.916997756,2839781.7103546793,0.053229996799735835,0.0532056633682364,-20186.53504432924,-20080.774246138986,307832888.9062382,22249835.783569932,0.0,307832888.9062382,11765760.951209068,0.0
meanItemRT,Information value,gpt2_xl,4,1,All,mean,full,0.25775081012903067,0.2577097922552277,2841872.124761658,2842051.918118581,0.047433149800997776,0.047408496026489666,-17916.32728042733,-17810.566482237075,310255937.96764714,19826786.722160995,0.0,310255937.96764714,9342711.889800131,0.0
meanItemRT,Information value,gpt2_xl,8,2,All,mean,full,0.259727671328141,0.25968676269884017,2841099.9288569847,2841279.722213908,0.04941001100010811,0.04938546647010211,-18688.523185100406,-18582.76238691015,309429621.23476064,20653103.45504749,0.0,309429621.23476064,10169028.622686625,0.0
meanItemRT,Information value,gpt2_xl,12,3,All,mean,full,0.2506793067444606,0.25063789808810455,2844617.6375233177,2844797.430880241,0.0403616464164277,0.040336601859366494,-15170.814518767409,-15065.053720577154,313211786.14553815,16870938.54426998,0.0,313211786.14553815,6386863.711909115,0.0
meanItemRT,Information value,gpt2_xl,16,4,All,mean,full,0.2449586547460475,0.24491692995734005,2846819.7896747217,2846999.583031645,0.0346409944180146,0.03461563372860199,-12968.66236736346,-12862.901569173206,315602986.1303609,14479738.559447229,0.0,315602986.1303609,3995663.727086365,0.0
meanItemRT,Information value,gpt2_xl,20,5,All,mean,full,0.24365333782066023,0.24361154089805803,2847319.930343476,2847499.7237003995,0.033335677492627336,0.03331024466931998,-12468.521698608994,-12362.76090041874,316148601.17791855,13934123.511889577,0.0,316148601.17791855,3450048.679528713,0.0
