y,metric,model,aggregation,dist_metric,fold,loglik,delta_loglik,rsquared,delta_rsquared,rsquared_adj,delta_rsquared_adj,aic,bic,anova_p_vs_baseline,anova_p_ias_vs_surprisal,anova_p_surprisal_vs_ias,anova_p_both_vs_ias,anova_p_both_vs_surprisal
rating_sd,IAS (min),gpt2_small,Smin,cosine_std,full,0.3450595179600506,0.1123457953656283,0.34821875752760834,0.1642075161562938,0.2815203008110957,0.1008647363087134,-737.7145066588682,-12.944381763684532,4.505204002897185e-17,1.0,,,
rating_sd,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,full,0.40128586967775326,0.168572147083331,0.4175424632425262,0.23353122187121167,0.3574545998872747,0.1767990353848924,-900.5701698951725,-170.50975211754212,1.6246640015643198e-39,,,2.488908301869842e-34,0.13356954021490883
rating_sd,Surprisal,gpt2_medium,,,full,0.34553477670524296,0.11282105411082069,0.34883799265495086,0.16482675128363633,0.34571170043861654,0.16505613593623425,-997.1079652997723,-954.7856222401996,1.6892870881702047e-73,,,,
rating_sd,IAS (mean),gpt2_medium,Smean,cosine_std,full,0.4325465183680863,0.199832795773664,0.4528434345616166,0.26883219319030205,0.3968514910705555,0.2161959265681732,-994.2263918552289,-269.45626696004524,5.596604763181665e-54,6.526045963893397e-09,,,
rating_sd,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,full,0.4434433201117597,0.2107295975173374,0.464638947563788,0.28062770619247346,0.4094096823651727,0.22875411786279043,-1024.1758145676795,-294.1153967900491,1.0276866594383713e-58,,,7.500172013171453e-08,4.152269300021668e-12
rating_sd,IAS (min),gpt2_medium,Smin,cosine_std,full,0.3576172121344579,0.12490348954003563,0.3643846405809431,0.18037339920962858,0.2993404803996099,0.11868491589722763,-774.5336659782306,-49.7635410830469,9.712386413648697e-22,0.9999999999999999,,,
rating_sd,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,full,0.39883314329805525,0.16611942070363298,0.41467822586465475,0.23066698449334022,0.3542948801895476,0.17363931568716529,-893.3787761498979,-163.31835837226754,1.9144819115430967e-38,,,1.3073044977318646e-25,0.13035073230572575
rating_sd,Surprisal,gpt2_large,,,full,0.34928791437723866,0.11657419178281639,0.35370749519820543,0.1696962538268909,0.35060458193784017,0.16994901743545787,-1008.1121649540637,-965.789821894491,6.997308696823291e-76,,,,
rating_sd,IAS (mean),gpt2_large,Smean,cosine_std,full,0.4516942946849471,0.21898057209052482,0.47340095449553754,0.289389713124223,0.41951271507596877,0.23885715057358647,-1050.3676720162648,-325.5975471210811,5.412854885186555e-63,8.863786487238044e-14,,,
rating_sd,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,full,0.46224899765661454,0.22953527506219226,0.4844006406380358,0.30038939926672126,0.4312100440773512,0.2505544795749689,-1079.3140611291938,-349.25364335156337,1.154413329081026e-67,,,1.198971585496498e-07,2.89500535566517e-17
