y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
rating_mean,Information value,gpt2_small,10,10,All,mean,cosine_std,full,-0.9178962528555359,0.3044969940148189,0.29681718166439597,2725.271813372431,2815.2067923740233,0.05981533939972161,0.08838488364359187,0.08392873636360942,-155.3785751199839,-102.47564629551789,538.188204645017,68.39323688978698,4.4885677983510275e-32
rating_mean,Information value,gpt2_small,11,11,All,mean,cosine_std,full,-0.9244653751721466,0.29529901503762146,0.28751763770194305,2744.5324800047338,2834.467459006326,0.05324621708311095,0.07918690466639444,0.07462919240115651,-136.11790848768123,-83.21497966321522,545.3057062941845,61.2757352406195,3.9594312700012655e-28
rating_mean,Information value,gpt2_small,12,12,All,mean,cosine_std,full,-0.9022245606210962,0.3259583198843977,0.31851548559740694,2679.322411741054,2769.2573907426463,0.07548703163416126,0.1098462095131707,0.1056270402966204,-201.3279767513609,-148.42504792689488,521.5811844888792,85.00025704592474,1.456889129250593e-41
rating_mean,Information value,gpt2_small,0,0,All,mean,cosine_std,0,-0.8374425552953755,0.41567228448484594,0.4084916059531697,2243.1734608692004,2331.3121564653948,0.14411151543431788,0.19519748185037689,0.1915817051359211,-360.16617771573056,-308.3198861885576,,,
rating_mean,Information value,gpt2_small,1,1,All,mean,cosine_std,0,-0.8519691949884558,0.39844662887467386,0.39105426793918596,2281.4947363795463,2369.6334319757407,0.12958487574123756,0.1779718262402048,0.17414436712193737,-321.84490220538464,-269.99861067821166,,,
rating_mean,Information value,gpt2_small,2,2,All,mean,cosine_std,0,-0.8715923311376746,0.37436850362778196,0.36668025175224006,2333.2605695411858,2421.39926513738,0.10996173959201871,0.1538937009933129,0.14977035093499147,-270.0790690437452,-218.23277751657224,,,
rating_mean,Information value,gpt2_small,3,3,All,mean,cosine_std,0,-0.8803245238058014,0.36334626594504627,0.3555225641440637,2356.296093799704,2444.4347893958984,0.10122954692389197,0.1428714633105772,0.1386126633268151,-247.0435447852269,-195.19725325805393,,,
rating_mean,Information value,gpt2_small,4,4,All,mean,cosine_std,0,-0.8858108949038895,0.356321961188102,0.3484119392057745,2370.7691407564607,2458.907836352655,0.09574317582580383,0.13584715855363294,0.13150203838852592,-232.57049782847025,-180.72420630129727,,,
rating_mean,Information value,gpt2_small,5,5,All,mean,cosine_std,0,-0.8874525881084692,0.35420504403689834,0.3462690077116989,2375.0999274301416,2463.238623026336,0.0941014826212242,0.13373024140242928,0.1293591068944503,-228.23971115478935,-176.39341962761637,,,
rating_mean,Information value,gpt2_small,6,6,All,mean,cosine_std,0,-0.8898578087295774,0.3510910013921328,0.34311669726177496,2381.4448994286254,2469.5835950248197,0.09169626200011594,0.13061619875766373,0.12620679644452637,-221.8947391563056,-170.04844762913262,,,
