y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
rating_mean,Information value,gpt2_small,All,All,4,mean,cosine_std,1,-0.8446522658253197,0.40177779899297494,0.3930278206872525,2268.1926772471934,2371.88526030154,0.13627923417161025,0.18743512618106606,0.18227809296919162,-333.5046197447077,-266.10444075938267,,,
rating_mean,Information value,gpt2_small,All,All,5,mean,cosine_std,1,-0.8481480047882771,0.3975806867675934,0.38876931882962906,2277.414436631475,2381.1070196858213,0.13278349520865285,0.1832380139556845,0.17801959111156818,-324.2828603604262,-256.88268137510113,,,
rating_mean,Information value,gpt2_small,All,All,6,mean,cosine_std,1,-0.852991986652994,0.39171610826825776,0.38281896127603054,2290.1928607905984,2393.885443844945,0.12793951334393594,0.17737343545634887,0.17206923355796966,-311.5044362013027,-244.10425721597767,,,
rating_mean,Information value,gpt2_small,All,All,7,mean,cosine_std,1,-0.8571115734760125,0.386683648471713,0.3777128935224925,2301.060330829721,2404.7529138840673,0.12381992652091744,0.1723409756598041,0.1669631658044316,-300.6369661621802,-233.23678717685516,,,
rating_mean,Information value,gpt2_small,All,All,8,mean,cosine_std,1,-0.8603013339187444,0.38275847695320553,0.3737303099494418,2309.4749188776477,2413.167501931994,0.12063016607818555,0.16841580414129664,0.1629805822313809,-292.2223781142534,-224.82219912892833,,,
rating_mean,Information value,gpt2_small,All,All,9,mean,cosine_std,1,-0.8641795217735839,0.37795230465326446,0.368853839517323,2319.7055784387144,2423.398161493061,0.11675197822334604,0.16360963184135557,0.1581041117992621,-281.99171855318673,-214.59153956786167,,,
rating_mean,Information value,gpt2_small,All,All,10,mean,cosine_std,1,-0.8671132394544,0.37429175148115634,0.36513974476686994,2327.444725680707,2431.1373087350535,0.11381826054252997,0.15994907866924746,0.15439001704880906,-274.25257131119406,-206.852392325869,,,
rating_mean,Information value,gpt2_small,All,All,1,mean,cosine_std,2,-0.833188793345363,0.4082761870316538,0.3996212582815394,2237.9520368450676,2341.644619899414,0.14192405270571407,0.19422219607660973,0.18916153261176194,-348.3956510376738,-280.99547205234876,,,
rating_mean,Information value,gpt2_small,All,All,2,mean,cosine_std,2,-0.8433725287548057,0.3961006984818165,0.38726768329409866,2264.8167308551774,2368.509313909524,0.13174031729627134,0.18204670752677243,0.17680795762432122,-321.530957027564,-254.13077804223894,,,
rating_mean,Information value,gpt2_small,All,All,3,mean,cosine_std,2,-0.824926241637437,0.4179741337571352,0.4094610533424975,2216.1554254395587,2319.848008493905,0.15018660441364007,0.20392014280209114,0.19900132767272005,-370.1922624431827,-302.79208345785764,,,
rating_mean,Information value,gpt2_small,All,All,4,mean,cosine_std,2,-0.8308309294365982,0.4110600264034442,0.402445815858152,2231.731991853746,2335.4245749080924,0.14428191661447887,0.19700603544840012,0.19198609018837454,-354.61569602899544,-287.2155170436704,,,
rating_mean,Information value,gpt2_small,All,All,5,mean,cosine_std,2,-0.8362426259287804,0.40465107690048696,0.3959431249844818,2246.0080472001227,2349.700630254469,0.13887022012229666,0.1905970859454429,0.18548339931470437,-340.33964068261866,-272.9394616972936,,,
rating_mean,Information value,gpt2_small,All,All,6,mean,cosine_std,2,-0.8418803097972515,0.3979003117014691,0.3890936188010288,2260.8802572451496,2364.572840299496,0.13323253625382558,0.18384632074642504,0.17863389313125133,-325.46743063759186,-258.0672516522668,,,
