y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,All,All,9,mean,cosine_std,0,-4.904201498928263,0.26168019794442565,0.26162636265679506,2556050.9708234235,2556260.385201816,0.033017271234483836,0.05040038018482618,0.05036470513194813,-17182.205560158007,-17046.086214202922,,,
meanItemRT,Information value,gpt2_small,All,All,10,mean,cosine_std,0,-4.905483228141463,0.259785117884762,0.2597311444155741,2556718.992708593,2556928.4070869857,0.03173554202128326,0.04850530012516252,0.048469486890727165,-16514.183674988337,-16378.064329033252,,,
meanItemRT,Information value,gpt2_small,All,All,1,mean,cosine_std,1,-4.915535564045233,0.24550479092439592,0.24544977619164277,2561958.1495536068,2562167.5639319993,0.022895665038140223,0.03535258286121423,0.03531575432635903,-11906.945869898424,-11770.826523943339,,,
meanItemRT,Information value,gpt2_small,All,All,2,mean,cosine_std,1,-4.894923907926303,0.2759752215709059,0.27592242861846195,2551215.601724294,2551425.0161026865,0.04350732115706979,0.06582301350772424,0.06578840675317821,-22649.49369921116,-22513.374353256077,,,
meanItemRT,Information value,gpt2_small,All,All,3,mean,cosine_std,1,-4.8976930638645175,0.2719542220449398,0.2719011358975071,2552658.8525694204,2552868.266947813,0.04073816521885565,0.06180201398175811,0.06176711403222335,-21206.24285408482,-21070.123508129735,,,
meanItemRT,Information value,gpt2_small,All,All,4,mean,cosine_std,1,-4.900733641243912,0.2675133739408553,0.2674599639847771,2554243.565012632,2554452.9793910244,0.0376975878394612,0.05736116587767359,0.05732594211949338,-19621.530410873238,-19485.411064918153,,,
meanItemRT,Information value,gpt2_small,All,All,5,mean,cosine_std,1,-4.901245443387536,0.2667632136217579,0.2667097489670296,2554510.310148263,2554719.7245266554,0.0371857856958373,0.05661100555857623,0.056575727101745854,-19354.78527524229,-19218.665929287206,,,
meanItemRT,Information value,gpt2_small,All,All,6,mean,cosine_std,1,-4.902356523912227,0.2651320316919391,0.2650784480980355,2555089.3919847654,2555298.806363158,0.036074705171146526,0.05497982362875742,0.05494442623275175,-18775.703438739758,-18639.584092784673,,,
meanItemRT,Information value,gpt2_small,All,All,7,mean,cosine_std,1,-4.90325320388545,0.26381296648585917,0.26375928671106674,2555556.73082665,2555766.1452050423,0.03517802519792301,0.05366075842267748,0.053625264845783005,-18308.36459685536,-18172.245250900276,,,
meanItemRT,Information value,gpt2_small,All,All,8,mean,cosine_std,1,-4.904053980159003,0.2626329796139276,0.26257921379927485,2555974.0858111107,2556183.500189503,0.03437724892437011,0.05248077155074593,0.05244519193399111,-17891.009612394497,-17754.89026643941,,,
