y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p,ias_coef
meanItemRT,Information value,gpt2_small,4,4,2,mean,cosine_std,full,-4.907720723382947,0.25720425554937487,0.257186297573782,2842067.2554696174,2842151.8641081695,0.030604831259074317,0.046886595221341976,0.04688500134504392,-17721.196572467685,-17710.6204926488,310484394.6720473,19598330.017760813,0.0,226.70565131235264
meanItemRT,Information value,gpt2_small,4,4,3,mean,cosine_std,full,-4.916059902515119,0.2447117543839178,0.2446934943871667,2846896.4574267007,2846981.0660652528,0.02226565212690179,0.034394094055884894,0.034392198158428644,-12891.994615384378,-12881.418535565492,315706189.0768679,14376535.612940252,0.0,205.92179205947508
meanItemRT,Information value,gpt2_small,4,4,4,mean,cosine_std,full,-4.919918383080167,0.2388606771193229,0.23884227566578042,2849130.8958049584,2849215.5044435104,0.01840717156185434,0.02854301679129001,0.02854097943704237,-10657.5562371267,-10646.980157307815,318151906.08083475,11930818.608973384,0.0,198.37866852453868
meanItemRT,Information value,gpt2_small,4,4,5,mean,cosine_std,full,-4.921149322458668,0.23698453592079616,0.23696608910929606,2849843.73033717,2849928.338975722,0.017176232183352624,0.02666687559276326,0.026664792880558008,-9944.721704915166,-9934.14562509628,318936122.4265742,11146602.26323396,0.0,205.40759084058914
meanItemRT,Information value,gpt2_small,4,4,6,mean,cosine_std,full,-4.921606053948521,0.23628723110878425,0.2362687674391063,2850108.2226294805,2850192.8312680325,0.016719500693500144,0.02596957078075135,0.025967471210368243,-9680.229412604589,-9669.653332785703,319227591.8703303,10855132.819477856,0.0,217.42660257667137
meanItemRT,Information value,gpt2_small,4,4,7,mean,cosine_std,full,-4.9219486979663145,0.2357636885173563,0.23574521219041,2850306.647094897,2850391.255733449,0.01637685667570654,0.0254460281893234,0.025443915961671948,-9481.804947188124,-9471.228867369238,319446429.69458944,10636294.995218694,0.0,229.53623468270698
meanItemRT,Information value,gpt2_small,4,4,8,mean,cosine_std,full,-4.92228864957283,0.23524390511251514,0.23522541621918325,2850503.5123903267,2850588.1210288787,0.016036905069190865,0.024926244784482243,0.024924119990445193,-9284.93965175841,-9274.363571939524,319663696.2002451,10419028.489563048,0.0,240.94424451094278
meanItemRT,Information value,gpt2_small,4,4,9,mean,cosine_std,full,-4.922639331831898,0.23470734418205597,0.23468884231672182,2850706.5917851888,2850791.200423741,0.015686222810122885,0.02438968385402307,0.02438754608798377,-9081.860256896354,-9071.284177077468,319887975.61614496,10194749.073663175,0.0,250.35819976492905
meanItemRT,Information value,gpt2_small,4,4,10,mean,cosine_std,full,-4.922834721707411,0.23440822486755009,0.2343897157706487,2850819.741671318,2850904.35030987,0.015490832934609955,0.02409056453951719,0.024088419541910655,-8968.71037076693,-8958.134290948045,320013005.7876193,10069718.902188838,0.0,259.24624879558996
meanItemRT,Information value,gpt2_small,5,5,1,mean,cosine_std,full,-4.92684755809943,0.22823911327195434,0.22822045502940114,2853143.567200264,2853228.175838816,0.011477996542590851,0.017921452943921445,0.017919158800663082,-6644.884841821156,-6634.308762002271,322591659.332329,7491065.357479155,0.0,152.6109170126833
