y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,3,3,All,mean,cosine_std,0,-4.903287089514468,0.26302921716732675,0.26298396554294967,2555568.391609866,2555746.3938315,0.033931680648279006,0.05174939940772727,0.051722308018102736,-17664.784773715306,-17560.07758451905,,,
meanItemRT,Information value,gpt2_small,4,4,All,mean,cosine_std,0,-4.90345356730587,0.2627837977762466,0.26273853108257994,2555655.1578370114,2555833.160058645,0.0337652028568769,0.05150398001664713,0.051476873557733005,-17578.018546570092,-17473.311357373837,,,
meanItemRT,Information value,gpt2_small,5,5,All,mean,cosine_std,0,-4.90478980389957,0.2608109722550297,0.2607655844255439,2556351.588314809,2556529.5905364426,0.032428966263176484,0.04953115449543022,0.04950392690069694,-16881.588068772573,-16776.880879576318,,,
meanItemRT,Information value,gpt2_small,6,6,All,mean,cosine_std,0,-4.906808262374,0.25782089625691307,0.25777532483019516,2557403.5846501803,2557581.586871814,0.030410507788746877,0.04654107849731359,0.04651366730534823,-15829.591733401176,-15724.88454420492,,,
meanItemRT,Information value,gpt2_small,7,7,All,mean,cosine_std,0,-4.906157760816518,0.2587858457454988,0.25874033356879833,2557064.5510444394,2557242.553266073,0.031061009346228907,0.04750602798589931,0.047478676043951396,-16168.625339142047,-16063.918149945792,,,
meanItemRT,Information value,gpt2_small,8,8,All,mean,cosine_std,0,-4.906025542379591,0.258981824186179,0.25893632404298517,2556995.640381734,2557173.6426033676,0.03119322778315592,0.04770200642657951,0.04767466651813823,-16237.536001847591,-16132.828812651336,,,
meanItemRT,Information value,gpt2_small,9,9,All,mean,cosine_std,0,-4.907695327118237,0.25650300571469065,0.25645735336659947,2557865.9121500994,2558043.914371733,0.029523443044509712,0.04522318795509117,0.04519569584175254,-15367.26423348207,-15262.557044285815,,,
meanItemRT,Information value,gpt2_small,10,10,All,mean,cosine_std,0,-4.911727395242523,0.25048310462398593,0.2504370826407487,2559967.37767166,2560145.3798932936,0.025491374920223464,0.039203286864386455,0.039175425115901774,-13265.798711921554,-13161.091522725299,,,
meanItemRT,Information value,gpt2_small,11,11,All,mean,cosine_std,0,-4.91403696690692,0.2470129703030649,0.24696673524596024,2561171.098708284,2561349.100929918,0.023181803255826416,0.03573315254346543,0.03570507772111331,-12062.07767529739,-11957.370486101136,,,
meanItemRT,Information value,gpt2_small,12,12,All,mean,cosine_std,0,-4.909407347620228,0.2539528781407243,0.25390706920920025,2558758.196691491,2558936.198913125,0.027811422542519004,0.04267306038112484,0.04264541168435332,-14474.979692090303,-14370.272502894048,,,
meanItemRT,Information value,gpt2_small,0,0,All,mean,cosine_std,1,-4.917282723412805,0.24286373251708238,0.24281724268766647,2562862.748050073,2563040.750271707,0.021148505670567808,0.03271152445390069,0.03268322082238273,-11002.347373432014,-10897.640184235759,,,
meanItemRT,Information value,gpt2_small,1,1,All,mean,cosine_std,1,-4.911668529254856,0.25131760205192,0.25127163130865726,2559936.6974252798,2560114.6996469134,0.026762699828517533,0.04116539398873831,0.041137609443373524,-13928.39799822541,-13823.690809029154,,,
meanItemRT,Information value,gpt2_small,2,2,All,mean,cosine_std,1,-4.908098235982419,0.2566445919585755,0.2565989483041906,2558075.903415205,2558253.9056368386,0.030332993100953942,0.046492383895393785,0.04646492643890687,-15789.192008300219,-15684.484819103964,,,
meanItemRT,Information value,gpt2_small,3,3,All,mean,cosine_std,1,-4.904880327046877,0.2614133301529201,0.26136797930953204,2556398.767892908,2556576.7701145415,0.03355090203649613,0.05126112208973843,0.0512339574442483,-17466.327530597337,-17361.62034140108,,,
meanItemRT,Information value,gpt2_small,4,4,All,mean,cosine_std,1,-4.904993003313796,0.26124686901997685,0.26120150795550967,2556457.4934111107,2556635.4956327444,0.033438225769577556,0.05109466095679516,0.05106748609022593,-17407.60201239446,-17302.894823198207,,,
meanItemRT,Information value,gpt2_small,5,5,All,mean,cosine_std,1,-4.906285077000813,0.25933535330101265,0.25928987486528277,2557130.9067118997,2557308.9089335334,0.03214615208255989,0.04918314523783096,0.04915585299999903,-16734.1887116055,-16629.481522409245,,,
meanItemRT,Information value,gpt2_small,6,6,All,mean,cosine_std,1,-4.908256972919203,0.25640855857250555,0.2563629004251524,2558158.6352018137,2558336.6374234473,0.030174256164170465,0.04625635050932386,0.04622887855986868,-15706.460221691523,-15601.753032495268,,,
meanItemRT,Information value,gpt2_small,7,7,All,mean,cosine_std,1,-4.907546486403876,0.25746443159531907,0.2574188382808881,2557788.3381558633,2557966.340377497,0.030884742679496924,0.047312223532137376,0.047284816415604336,-16076.757267641835,-15972.05007844558,,,
meanItemRT,Information value,gpt2_small,8,8,All,mean,cosine_std,1,-4.907410458422326,0.2576664153478492,0.2576208344356642,2557717.4420042154,2557895.444225849,0.031020770661046804,0.04751420728466749,0.047486812570380454,-16147.653419289738,-16042.946230093483,,,
meanItemRT,Information value,gpt2_small,9,9,All,mean,cosine_std,1,-4.909005609664455,0.25529436490128454,0.25524863833999334,2558548.815689798,2558726.8179114317,0.029425619418917748,0.045142156838102854,0.0451146164747096,-15316.279733707197,-15211.572544510942,,,
meanItemRT,Information value,gpt2_small,10,10,All,mean,cosine_std,1,-4.912947131363642,0.24940061825142146,0.24935452980114392,2560603.0895011537,2560781.0917227874,0.02548409771973148,0.03924841018823977,0.03922050793586018,-13262.005922351498,-13157.298733155243,,,
